,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day,Hour
10,149-71-6266,B,Abuja,Member,Male,Sports and travel,28105.2,9,12647.34,265594.14,2019-01-28 00:00:00,2021-08-23 12:43:00,Cash,252946.8,4.761904762,12647.34,4.5,2019,1,28,12
11,640-49-2076,B,Abuja,Normal,Male,Sports and travel,30160.8,8,12064.32,253350.72,2019-01-10 00:00:00,2021-08-23 14:49:00,Cash,241286.4,4.761904762,12064.32,5.1,2019,1,10,14
12,777-82-7220,B,Abuja,Member,Male,Home and lifestyle,10843.2,8,4337.28,91082.88,2019-03-03 00:00:00,2021-08-23 13:01:00,Cash,86745.6,4.761904762,4337.28,7.7,2019,3,3,13
13,280-35-5823,B,Abuja,Member,Female,Home and lifestyle,31219.2,1,1560.96,32780.16,2019-01-17 00:00:00,2021-08-23 18:45:00,Epay,31219.2,4.761904762,1560.96,7.9,2019,1,17,18
14,354-25-5821,B,Abuja,Member,Female,Sports and travel,24883.2,6,7464.96,156764.15999999997,2019-02-08 00:00:00,2021-08-23 13:03:00,Cash,149299.2,4.761904762,7464.96,5.6,2019,2,8,13
15,132-32-9879,B,Abuja,Member,Female,Electronic accessories,33825.6,4,6765.120000000001,142067.52,2019-03-09 00:00:00,2021-08-23 18:00:00,Cash,135302.4,4.761904762,6765.120000000001,9.5,2019,3,9,18
16,370-41-7321,B,Abuja,Member,Male,Health and beauty,20408.4,9,9183.78,192859.38,2019-02-27 00:00:00,2021-08-23 17:24:00,Card,183675.6,4.761904762,9183.78,8.4,2019,2,27,17
17,727-46-3608,B,Abuja,Member,Female,Food and beverages,7203.6,9,3241.62,68074.02,2019-02-06 00:00:00,2021-08-23 15:47:00,Epay,64832.4,4.761904762,3241.62,4.1,2019,2,6,15
18,669-54-1719,B,Abuja,Member,Male,Electronic accessories,6814.8,6,2044.44,42933.24,2019-02-10 00:00:00,2021-08-23 12:45:00,Card,40888.8,4.761904762,2044.44,8.1,2019,2,10,12
19,616-24-2851,B,Abuja,Member,Female,Fashion accessories,6433.200000000001,4,1286.64,27019.44,2019-03-22 00:00:00,2021-08-23 14:42:00,Epay,25732.800000000003,4.761904762,1286.64,6.5,2019,3,22,14
20,242-55-6721,B,Abuja,Normal,Male,Home and lifestyle,5817.6,2,581.76,12216.96,2019-03-07 00:00:00,2021-08-23 11:49:00,Epay,11635.2,4.761904762,581.76,6.5,2019,3,7,11
21,347-34-2234,B,Abuja,Member,Female,Sports and travel,19825.2,9,8921.34,187348.14,2019-02-03 00:00:00,2021-08-23 13:40:00,Epay,178426.8,4.761904762,8921.34,10.0,2019,2,3,13
22,853-23-2453,B,Abuja,Member,Male,Health and beauty,27266.4,4,5453.28,114518.88,2019-02-14 00:00:00,2021-08-23 14:35:00,Cash,109065.6,4.761904762,5453.28,7.6,2019,2,14,14
23,109-28-2512,B,Abuja,Member,Female,Fashion accessories,35139.6,6,10541.88,221379.48,2019-01-07 00:00:00,2021-08-23 15:01:00,Epay,210837.6,4.761904762,10541.88,9.9,2019,1,7,15
24,510-95-6347,B,Abuja,Member,Female,Food and beverages,17467.2,3,2620.08,55021.68,2019-03-05 00:00:00,2021-08-23 18:17:00,Epay,52401.6,4.761904762,2620.08,4.0,2019,3,5,18
25,847-38-7188,B,Abuja,Normal,Female,Food and beverages,34804.8,3,5220.72,109635.12,2019-01-26 00:00:00,2021-08-23 19:56:00,Epay,104414.4,4.761904762,5220.72,6.4,2019,1,26,19
26,318-68-5053,B,Abuja,Normal,Female,Health and beauty,27716.4,6,8314.92,174613.31999999998,2019-02-27 00:00:00,2021-08-23 17:55:00,Cash,166298.4,4.761904762,8314.92,6.1,2019,2,27,17
27,152-08-9985,B,Abuja,Member,Male,Health and beauty,23169.6,9,10426.32,218952.72,2019-03-12 00:00:00,2021-08-23 12:09:00,Card,208526.4,4.761904762,10426.32,8.6,2019,3,12,12
28,766-85-7061,B,Abuja,Normal,Male,Health and beauty,31633.2,10,15816.6,332148.6,2019-03-29 00:00:00,2021-08-23 10:25:00,Epay,316332.0,4.761904762,15816.6,5.1,2019,3,29,10
29,733-01-9107,B,Abuja,Normal,Male,Home and lifestyle,29772.0,6,8931.6,187563.6,2019-03-05 00:00:00,2021-08-23 18:14:00,Cash,178632.0,4.761904762,8931.6,7.4,2019,3,5,18
30,716-39-1409,B,Abuja,Normal,Male,Health and beauty,10926.0,7,3824.1,80306.09999999999,2019-03-19 00:00:00,2021-08-23 18:19:00,Cash,76482.0,4.761904762,3824.1,8.0,2019,3,19,18
31,479-26-8945,B,Abuja,Member,Female,Sports and travel,5936.4,2,593.64,12466.44,2019-02-05 00:00:00,2021-08-23 11:32:00,Epay,11872.8,4.761904762,593.64,4.6,2019,2,5,11
32,227-78-1148,B,Abuja,Normal,Female,Fashion accessories,26222.4,7,9177.84,192734.64,2019-02-15 00:00:00,2021-08-23 12:44:00,Cash,183556.8,4.761904762,9177.84,8.4,2019,2,15,12
33,291-32-1427,B,Abuja,Member,Male,Fashion accessories,7898.400000000001,5,1974.6,41466.6,2019-03-05 00:00:00,2021-08-23 12:29:00,Epay,39492.0,4.761904762,1974.6,5.3,2019,3,5,12
34,659-65-8956,B,Abuja,Member,Male,Fashion accessories,18489.6,1,924.48,19414.08,2019-01-16 00:00:00,2021-08-23 15:26:00,Epay,18489.6,4.761904762,924.48,5.2,2019,1,16,15
35,378-24-2715,B,Abuja,Normal,Male,Home and lifestyle,19238.4,2,1923.84,40400.64,2019-01-20 00:00:00,2021-08-23 20:38:00,Epay,38476.8,4.761904762,1923.84,4.1,2019,1,20,20
36,219-22-9386,B,Abuja,Member,Male,Sports and travel,35985.6,9,16193.52,340063.92,2019-03-09 00:00:00,2021-08-23 17:26:00,Card,323870.4,4.761904762,16193.52,4.2,2019,3,9,17
37,268-27-6179,B,Abuja,Member,Female,Fashion accessories,20329.2,8,8131.68,170765.28,2019-03-09 00:00:00,2021-08-23 14:57:00,Epay,162633.6,4.761904762,8131.68,7.3,2019,3,9,14
38,549-84-7482,B,Abuja,Normal,Female,Sports and travel,32500.8,9,14625.36,307132.56,2019-02-08 00:00:00,2021-08-23 11:15:00,Epay,292507.2,4.761904762,14625.36,7.2,2019,2,8,11
39,191-10-6171,B,Abuja,Normal,Female,Fashion accessories,14263.2,7,4992.12,104834.52,2019-01-25 00:00:00,2021-08-23 13:18:00,Cash,99842.4,4.761904762,4992.12,7.5,2019,1,25,13
40,695-51-0018,B,Abuja,Normal,Female,Sports and travel,12542.4,4,2508.48,52678.08,2019-02-10 00:00:00,2021-08-23 18:36:00,Cash,50169.600000000006,4.761904762,2508.48,7.4,2019,2,10,18
41,590-83-4591,B,Abuja,Member,Male,Electronic accessories,31482.0,6,9444.6,198336.6,2019-02-17 00:00:00,2021-08-23 14:40:00,Card,188892.00000000003,4.761904762,9444.6,8.8,2019,2,17,14
42,241-72-9525,B,Abuja,Normal,Male,Sports and travel,18687.6,10,9343.8,196219.8,2019-02-16 00:00:00,2021-08-23 12:21:00,Cash,186876.0,4.761904762,9343.8,8.2,2019,2,16,12
43,262-47-2794,B,Abuja,Member,Male,Home and lifestyle,25869.6,8,10347.84,217304.64,2019-03-06 00:00:00,2021-08-23 15:07:00,Card,206956.8,4.761904762,10347.84,6.2,2019,3,6,15
44,608-96-3517,B,Abuja,Member,Female,Fashion accessories,32954.4,4,6590.88,138408.48,2019-03-23 00:00:00,2021-08-23 19:20:00,Card,131817.6,4.761904762,6590.88,4.8,2019,3,23,19
45,279-74-2924,B,Abuja,Member,Male,Electronic accessories,25981.2,1,1299.06,27280.26,2019-01-04 00:00:00,2021-08-23 19:40:00,Cash,25981.2,4.761904762,1299.06,6.1,2019,1,4,19
46,307-85-2293,B,Abuja,Normal,Male,Home and lifestyle,18100.8,5,4525.2,95029.2,2019-03-07 00:00:00,2021-08-23 13:58:00,Epay,90504.0,4.761904762,4525.2,9.7,2019,3,7,13
47,743-04-1105,B,Abuja,Member,Male,Health and beauty,34999.2,9,15749.639999999998,330742.44,2019-03-30 00:00:00,2021-08-23 14:43:00,Epay,314992.8,4.761904762,15749.639999999998,6.0,2019,3,30,14
48,423-57-2993,B,Abuja,Normal,Male,Sports and travel,33620.4,6,10086.12,211808.52,2019-03-27 00:00:00,2021-08-23 19:18:00,Epay,201722.4,4.761904762,10086.12,10.0,2019,3,27,19
49,548-46-9322,B,Abuja,Normal,Male,Food and beverages,14364.0,10,7182.0,150822.0,2019-02-20 00:00:00,2021-08-23 15:24:00,Card,143640.0,4.761904762,7182.0,5.9,2019,2,20,15
50,505-02-0892,B,Abuja,Member,Male,Health and beauty,15325.2,8,6130.08,128731.68,2019-02-25 00:00:00,2021-08-23 14:12:00,Epay,122601.6,4.761904762,6130.08,5.6,2019,2,25,14
51,316-55-4634,B,Abuja,Member,Male,Food and beverages,28818.0,5,7204.5,151294.5,2019-01-26 00:00:00,2021-08-23 12:45:00,Card,144090.0,4.761904762,7204.5,9.4,2019,1,26,12
52,608-27-6295,B,Abuja,Member,Male,Electronic accessories,19040.4,6,5712.12,119954.52,2019-01-19 00:00:00,2021-08-23 17:34:00,Card,114242.4,4.761904762,5712.12,9.8,2019,1,19,17
53,414-12-7047,B,Abuja,Normal,Male,Food and beverages,7124.4,8,2849.76,59844.96,2019-01-18 00:00:00,2021-08-23 12:04:00,Epay,56995.2,4.761904762,2849.76,8.7,2019,1,18,12
54,895-66-0685,B,Abuja,Member,Male,Food and beverages,6508.799999999999,3,976.32,20502.72,2019-03-05 00:00:00,2021-08-23 19:46:00,Epay,19526.4,4.761904762,976.32,8.0,2019,3,5,19
55,305-14-0245,B,Abuja,Member,Female,Home and lifestyle,34016.4,8,13606.56,285737.76,2019-03-03 00:00:00,2021-08-23 19:00:00,Epay,272131.2,4.761904762,13606.56,7.5,2019,3,3,19
56,732-04-5373,B,Abuja,Member,Male,Home and lifestyle,16729.2,4,3345.84,70262.64,2019-02-08 00:00:00,2021-08-23 10:53:00,Cash,66916.8,4.761904762,3345.84,7.0,2019,2,8,10
57,284-34-9626,B,Abuja,Normal,Female,Home and lifestyle,27734.4,3,4160.16,87363.36,2019-02-11 00:00:00,2021-08-23 10:39:00,Card,83203.2,4.761904762,4160.16,7.2,2019,2,11,10
58,437-58-8131,B,Abuja,Normal,Female,Fashion accessories,26467.2,2,2646.7200000000003,55581.12,2019-01-15 00:00:00,2021-08-23 13:41:00,Epay,52934.4,4.761904762,2646.7200000000003,4.6,2019,1,15,13
59,641-43-2399,B,Abuja,Normal,Male,Home and lifestyle,9198.0,4,1839.6,38631.6,2019-01-26 00:00:00,2021-08-23 20:23:00,Epay,36792.0,4.761904762,1839.6,5.7,2019,1,26,20
60,542-41-0513,B,Abuja,Member,Female,Electronic accessories,20696.4,4,4139.28,86924.88,2019-03-15 00:00:00,2021-08-23 11:57:00,Cash,82785.6,4.761904762,4139.28,6.6,2019,3,15,11
61,875-46-5808,B,Abuja,Member,Male,Health and beauty,9324.0,10,4662.0,97902.0,2019-02-06 00:00:00,2021-08-23 14:51:00,Epay,93240.0,4.761904762,4662.0,8.7,2019,2,6,14
62,394-43-4238,B,Abuja,Member,Male,Home and lifestyle,6397.2,5,1599.3,33585.3,2019-02-15 00:00:00,2021-08-23 12:42:00,Card,31986.0,4.761904762,1599.3,5.4,2019,2,15,12
63,573-58-9734,B,Abuja,Normal,Female,Fashion accessories,10933.2,3,1639.98,34439.579999999994,2019-03-28 00:00:00,2021-08-23 13:41:00,Epay,32799.6,4.761904762,1639.98,5.1,2019,3,28,13
64,817-69-8206,B,Abuja,Normal,Female,Electronic accessories,35902.8,9,16156.26,339281.46,2019-03-02 00:00:00,2021-08-23 19:42:00,Card,323125.2,4.761904762,16156.26,6.5,2019,3,2,19
65,142-63-6033,B,Abuja,Normal,Male,Home and lifestyle,33249.6,5,8312.4,174560.4,2019-03-20 00:00:00,2021-08-23 19:17:00,Epay,166248.0,4.761904762,8312.4,4.9,2019,3,20,19
66,656-16-1063,B,Abuja,Normal,Male,Sports and travel,16711.2,3,2506.68,52640.27999999999,2019-01-04 00:00:00,2021-08-23 13:24:00,Card,50133.6,4.761904762,2506.68,4.4,2019,1,4,13
67,891-58-8335,B,Abuja,Member,Female,Sports and travel,10659.6,7,3730.86,78348.06,2019-03-11 00:00:00,2021-08-23 15:53:00,Cash,74617.2,4.761904762,3730.86,6.5,2019,3,11,15
68,560-30-5617,B,Abuja,Normal,Female,Sports and travel,8917.2,5,2229.3,46815.3,2019-03-24 00:00:00,2021-08-23 18:27:00,Cash,44586.0,4.761904762,2229.3,8.5,2019,3,24,18
69,549-03-9315,B,Abuja,Normal,Male,Fashion accessories,34153.200000000004,8,13661.28,286886.88,2019-02-12 00:00:00,2021-08-23 12:58:00,Epay,273225.60000000003,4.761904762,13661.28,8.7,2019,2,12,12
70,790-29-1172,B,Abuja,Normal,Female,Food and beverages,20642.4,3,3096.36,65023.55999999999,2019-03-10 00:00:00,2021-08-23 18:59:00,Card,61927.2,4.761904762,3096.36,7.9,2019,3,10,18
71,239-36-3640,B,Abuja,Normal,Male,Electronic accessories,16326.0,6,4897.8,102853.8,2019-01-31 00:00:00,2021-08-23 13:44:00,Epay,97956.0,4.761904762,4897.8,6.1,2019,1,31,13
72,468-01-2051,B,Abuja,Normal,Male,Food and beverages,22348.8,7,7822.080000000001,164263.68,2019-03-06 00:00:00,2021-08-23 13:46:00,Epay,156441.6,4.761904762,7822.080000000001,5.4,2019,3,6,13
73,836-82-5858,B,Abuja,Member,Male,Health and beauty,24973.2,9,11237.94,235996.74,2019-01-26 00:00:00,2021-08-23 19:14:00,Epay,224758.8,4.761904762,11237.94,4.0,2019,1,26,19
74,466-61-5506,B,Abuja,Member,Female,Electronic accessories,32652.0,6,9795.6,205707.6,2019-02-26 00:00:00,2021-08-23 10:52:00,Cash,195912.00000000003,4.761904762,9795.6,5.3,2019,2,26,10
75,289-65-5721,B,Abuja,Normal,Female,Fashion accessories,29293.2,2,2929.32,61515.72,2019-01-26 00:00:00,2021-08-23 19:28:00,Cash,58586.4,4.761904762,2929.32,6.5,2019,1,26,19
76,545-46-3100,B,Abuja,Member,Female,Electronic accessories,3812.4,3,571.86,12009.06,2019-03-12 00:00:00,2021-08-23 13:52:00,Card,11437.2,4.761904762,571.86,8.7,2019,3,12,13
77,418-02-5978,B,Abuja,Normal,Female,Health and beauty,30272.4,9,13622.58,286074.18,2019-02-11 00:00:00,2021-08-23 10:54:00,Cash,272451.6,4.761904762,13622.58,8.0,2019,2,11,10
78,269-04-5750,B,Abuja,Member,Male,Fashion accessories,26575.2,4,5315.04,111615.84,2019-02-21 00:00:00,2021-08-23 18:31:00,Cash,106300.8,4.761904762,5315.04,6.7,2019,2,21,18
79,346-84-3103,B,Abuja,Member,Female,Electronic accessories,4759.2,5,1189.8,24985.8,2019-03-02 00:00:00,2021-08-23 19:26:00,Cash,23796.0,4.761904762,1189.8,4.3,2019,3,2,19
80,376-02-8238,B,Abuja,Normal,Male,Home and lifestyle,33793.200000000004,8,13517.28,283862.88,2019-02-02 00:00:00,2021-08-23 18:42:00,Card,270345.60000000003,4.761904762,13517.28,8.3,2019,2,2,18
81,866-05-7563,B,Abuja,Member,Female,Electronic accessories,29304.000000000004,3,4395.6,92307.6,2019-02-09 00:00:00,2021-08-23 19:43:00,Cash,87912.0,4.761904762,4395.6,4.8,2019,2,9,19
82,785-13-7708,B,Abuja,Normal,Male,Food and beverages,26301.6,7,9205.56,193316.76,2019-01-14 00:00:00,2021-08-23 19:06:00,Card,184111.2,4.761904762,9205.56,4.2,2019,1,14,19
83,845-51-0542,B,Abuja,Member,Male,Food and beverages,16758.0,9,7541.1,158363.1,2019-02-02 00:00:00,2021-08-23 15:34:00,Epay,150822.0,4.761904762,7541.1,6.4,2019,2,2,15
84,110-48-7033,B,Abuja,Member,Male,Fashion accessories,11743.2,4,2348.64,49321.44,2019-01-29 00:00:00,2021-08-23 14:12:00,Cash,46972.8,4.761904762,2348.64,9.0,2019,1,29,14
85,655-85-5130,B,Abuja,Member,Female,Fashion accessories,13787.999999999998,4,2757.6,57909.600000000006,2019-03-13 00:00:00,2021-08-23 19:22:00,Cash,55151.99999999999,4.761904762,2757.6,5.7,2019,3,13,19
86,154-74-7179,B,Abuja,Normal,Male,Sports and travel,19602.0,1,980.1,20582.1,2019-02-26 00:00:00,2021-08-23 19:24:00,Epay,19602.0,4.761904762,980.1,7.9,2019,2,26,19
87,571-94-0759,B,Abuja,Member,Female,Food and beverages,26856.0,10,13427.999999999998,281988.0,2019-01-08 00:00:00,2021-08-23 20:55:00,Cash,268560.0,4.761904762,13427.999999999998,9.5,2019,1,8,20
88,783-09-1637,B,Abuja,Normal,Female,Sports and travel,24274.800000000003,5,6068.700000000001,127442.7,2019-03-06 00:00:00,2021-08-23 18:13:00,Epay,121374.0,4.761904762,6068.700000000001,6.3,2019,3,6,18
89,477-24-6490,B,Abuja,Normal,Female,Health and beauty,35895.6,6,10768.68,226142.28,2019-02-26 00:00:00,2021-08-23 16:52:00,Epay,215373.6,4.761904762,10768.68,7.9,2019,2,26,16
90,566-19-5475,B,Abuja,Normal,Male,Fashion accessories,17269.2,7,6044.22,126928.62,2019-01-07 00:00:00,2021-08-23 20:52:00,Cash,120884.4,4.761904762,6044.22,6.2,2019,1,7,20
91,498-41-1961,B,Abuja,Normal,Male,Health and beauty,24004.800000000003,5,6001.200000000001,126025.2,2019-02-20 00:00:00,2021-08-23 18:01:00,Cash,120024.0,4.761904762,6001.200000000001,7.6,2019,2,20,18
92,283-79-9594,B,Abuja,Normal,Female,Food and beverages,17463.6,7,6112.26,128357.46,2019-01-25 00:00:00,2021-08-23 13:30:00,Card,122245.2,4.761904762,6112.26,5.2,2019,1,25,13
93,139-20-0155,B,Abuja,Member,Male,Electronic accessories,14507.999999999998,10,7253.999999999999,152334.0,2019-01-24 00:00:00,2021-08-23 17:37:00,Card,145080.0,4.761904762,7253.999999999999,7.0,2019,1,24,17
94,585-03-5943,B,Abuja,Normal,Male,Health and beauty,6519.599999999999,10,3259.8,68455.8,2019-03-13 00:00:00,2021-08-23 11:46:00,Epay,65196.0,4.761904762,3259.8,5.9,2019,3,13,11
95,573-10-3877,B,Abuja,Member,Male,Health and beauty,14043.6,1,702.18,14745.78,2019-03-12 00:00:00,2021-08-23 16:46:00,Card,14043.6,4.761904762,702.18,4.7,2019,3,12,16
96,396-90-2219,B,Abuja,Normal,Female,Electronic accessories,5385.6,8,2154.24,45239.04,2019-02-23 00:00:00,2021-08-23 12:29:00,Cash,43084.8,4.761904762,2154.24,8.6,2019,2,23,12
97,532-59-7201,B,Abuja,Member,Male,Sports and travel,28774.800000000003,6,8632.44,181281.24,2019-01-31 00:00:00,2021-08-23 14:04:00,Cash,172648.8,4.761904762,8632.44,5.5,2019,1,31,14
98,276-54-0879,B,Abuja,Normal,Male,Sports and travel,35186.4,4,7037.28,147782.88,2019-03-12 00:00:00,2021-08-23 19:53:00,Epay,140745.6,4.761904762,7037.28,6.4,2019,3,12,19
99,730-61-8757,B,Abuja,Member,Male,Health and beauty,18406.8,4,3681.36,77308.56,2019-01-25 00:00:00,2021-08-23 10:11:00,Card,73627.2,4.761904762,3681.36,4.0,2019,1,25,10
100,868-81-1752,B,Abuja,Normal,Male,Home and lifestyle,7927.2,9,3567.24,74912.04000000001,2019-02-07 00:00:00,2021-08-23 18:48:00,Cash,71344.8,4.761904762,3567.24,6.8,2019,2,7,18
101,692-27-8933,B,Abuja,Normal,Female,Sports and travel,20862.0,6,6258.6,131430.6,2019-02-24 00:00:00,2021-08-23 13:02:00,Cash,125172.0,4.761904762,6258.6,5.2,2019,2,24,13
102,374-17-3652,B,Abuja,Member,Female,Food and beverages,15415.2,9,6936.840000000001,145673.64,2019-02-05 00:00:00,2021-08-23 15:26:00,Card,138736.8,4.761904762,6936.840000000001,8.9,2019,2,5,15
103,378-07-7001,B,Abuja,Member,Male,Electronic accessories,17312.4,3,2596.86,54534.06,2019-02-10 00:00:00,2021-08-23 18:23:00,Card,51937.2,4.761904762,2596.86,7.8,2019,2,10,18
104,433-75-6987,B,Abuja,Member,Female,Health and beauty,20149.2,7,7052.22,148096.62,2019-03-05 00:00:00,2021-08-23 19:06:00,Epay,141044.4,4.761904762,7052.22,8.9,2019,3,5,19
105,873-95-4984,B,Abuja,Member,Female,Health and beauty,27684.000000000004,7,9689.4,203477.4,2019-02-15 00:00:00,2021-08-23 20:21:00,Cash,193788.0,4.761904762,9689.4,7.7,2019,2,15,20
106,400-45-1220,B,Abuja,Normal,Female,Health and beauty,4860.0,10,2430.0,51030.0,2019-02-27 00:00:00,2021-08-23 11:06:00,Card,48600.0,4.761904762,2430.0,4.8,2019,2,27,11
107,115-99-4379,B,Abuja,Member,Female,Fashion accessories,19702.8,7,6895.98,144815.58,2019-03-14 00:00:00,2021-08-23 19:02:00,Card,137919.6,4.761904762,6895.98,8.5,2019,3,14,19
108,565-67-6697,B,Abuja,Member,Male,Home and lifestyle,9720.0,9,4374.0,91854.0,2019-03-02 00:00:00,2021-08-23 14:16:00,Cash,87480.0,4.761904762,4374.0,4.8,2019,3,2,14
109,889-04-9723,B,Abuja,Member,Female,Food and beverages,32090.4,4,6418.08,134779.68000000002,2019-01-07 00:00:00,2021-08-23 12:20:00,Card,128361.6,4.761904762,6418.08,7.8,2019,1,7,12
110,453-63-6187,B,Abuja,Normal,Male,Electronic accessories,9900.0,3,1485.0,31185.0,2019-03-01 00:00:00,2021-08-23 15:40:00,Epay,29700.0,4.761904762,1485.0,6.5,2019,3,1,15
111,578-80-7669,B,Abuja,Normal,Male,Sports and travel,26989.2,1,1349.46,28338.660000000003,2019-03-16 00:00:00,2021-08-23 16:58:00,Cash,26989.2,4.761904762,1349.46,5.6,2019,3,16,16
112,201-86-2184,B,Abuja,Member,Female,Electronic accessories,9453.6,7,3308.76,69483.95999999999,2019-02-02 00:00:00,2021-08-23 19:40:00,Cash,66175.2,4.761904762,3308.76,9.9,2019,2,2,19
113,261-12-8671,B,Abuja,Normal,Female,Fashion accessories,21945.6,2,2194.56,46085.76,2019-01-25 00:00:00,2021-08-23 19:39:00,Card,43891.2,4.761904762,2194.56,4.9,2019,1,25,19
114,843-01-4703,B,Abuja,Member,Female,Home and lifestyle,12736.8,9,5731.56,120362.76,2019-01-05 00:00:00,2021-08-23 19:50:00,Card,114631.2,4.761904762,5731.56,9.6,2019,1,5,19
115,182-69-8360,B,Abuja,Normal,Female,Electronic accessories,8514.0,4,1702.8000000000002,35758.8,2019-01-30 00:00:00,2021-08-23 13:32:00,Card,34056.0,4.761904762,1702.8000000000002,4.0,2019,1,30,13
116,868-52-7573,B,Abuja,Normal,Female,Food and beverages,35888.4,5,8972.1,188414.1,2019-01-14 00:00:00,2021-08-23 12:09:00,Cash,179442.0,4.761904762,8972.1,9.9,2019,1,14,12
117,525-88-7307,B,Abuja,Member,Male,Sports and travel,27295.2,1,1364.7600000000002,28659.960000000003,2019-01-31 00:00:00,2021-08-23 13:19:00,Cash,27295.2,4.761904762,1364.7600000000002,5.8,2019,1,31,13
118,596-42-3999,B,Abuja,Normal,Male,Food and beverages,6559.2,7,2295.7200000000003,48210.12,2019-03-10 00:00:00,2021-08-23 14:04:00,Card,45914.4,4.761904762,2295.7200000000003,6.6,2019,3,10,14
119,173-82-9529,B,Abuja,Normal,Female,Fashion accessories,13662.000000000002,10,6831.000000000001,143451.0,2019-01-26 00:00:00,2021-08-23 14:51:00,Cash,136620.0,4.761904762,6831.000000000001,9.7,2019,1,26,14
120,760-54-1821,B,Abuja,Normal,Male,Home and lifestyle,4892.4,9,2201.58,46233.18,2019-03-15 00:00:00,2021-08-23 10:26:00,Cash,44031.6,4.761904762,2201.58,5.8,2019,3,15,10
121,793-10-3222,B,Abuja,Member,Female,Health and beauty,14781.6,6,4434.48,93124.08,2019-03-05 00:00:00,2021-08-23 13:30:00,Card,88689.6,4.761904762,4434.48,8.3,2019,3,5,13
122,346-12-3257,B,Abuja,Member,Male,Electronic accessories,6926.4,9,3116.88,65454.48,2019-03-04 00:00:00,2021-08-23 16:28:00,Cash,62337.6,4.761904762,3116.88,8.0,2019,3,4,16
123,831-64-0259,B,Abuja,Normal,Female,Fashion accessories,14310.0,5,3577.5,75127.5,2019-02-22 00:00:00,2021-08-23 10:43:00,Epay,71550.0,4.761904762,3577.5,9.6,2019,2,22,10
124,725-32-9708,B,Abuja,Member,Female,Fashion accessories,24735.6,4,4947.12,103889.52,2019-01-04 00:00:00,2021-08-23 19:01:00,Cash,98942.4,4.761904762,4947.12,4.1,2019,1,4,19
125,244-08-0162,B,Abuja,Normal,Female,Health and beauty,12315.6,10,6157.8,129313.8,2019-01-02 00:00:00,2021-08-23 13:00:00,Cash,123156.0,4.761904762,6157.8,5.1,2019,1,2,13
126,569-71-4390,B,Abuja,Normal,Male,Sports and travel,7873.200000000001,2,787.3199999999999,16533.72,2019-01-25 00:00:00,2021-08-23 14:29:00,Epay,15746.4,4.761904762,787.3199999999999,6.9,2019,1,25,14
127,268-03-6164,B,Abuja,Normal,Male,Health and beauty,34599.6,1,1729.98,36329.58,2019-01-25 00:00:00,2021-08-23 16:28:00,Epay,34599.6,4.761904762,1729.98,7.8,2019,1,25,16
